generation,N_shifts,logPrior,logLik,eventRate,acceptRate
415000,4,-0.602556,-187.002,1.57529,0.1972
420000,7,-2.88053,-151.202,2.73804,0.1923
425000,7,-5.32369,-140.454,5.92089,0.1832
430000,5,-7.67276,-144.477,5.04979,0.1906
435000,6,2.14687,-172.546,1.74719,0.1945
440000,9,-8.85002,-161.506,7.15702,0.1774
445000,10,-5.81973,-143.147,6.75115,0.192733
450000,4,-0.0401907,-174.994,2.45294,0.211486
455000,5,-2.5402,-170.047,3.05132,0.1806
460000,5,1.15012,-157.084,3.16831,0.1886
465000,7,0.300898,-161.315,2.53806,0.2
470000,12,6.60923,-156.682,6.88144,0.2004
475000,4,0.503304,-172.529,1.89923,0.209
480000,8,-5.99141,-152.74,2.52538,0.18265
485000,7,-4.99702,-174.613,5.36851,0.2052
490000,5,2.98161,-163.38,2.79263,0.199764
495000,5,0.681081,-158.665,3.88222,0.185867
500000,3,1.55516,-175.85,0.974874,0.2034
505000,3,-2.91561,-177.285,2.56427,0.2126
510000,6,-3.62658,-153.413,4.78391,0.196333
515000,6,-3.63114,-164.27,3.36033,0.1834
520000,3,1.56389,-167.474,1.19136,0.209467
525000,6,-2.59354,-166.704,3.90254,0.20656
530000,3,0.448808,-193.758,1.25798,0.2051
535000,5,-3.04652,-156.849,2.43803,0.2031
540000,6,-0.215082,-158.077,2.70385,0.19212
545000,8,2.23362,-138.609,3.18076,0.1992
550000,8,-4.33919,-162.862,5.47737,0.198683
555000,5,-1.29179,-158.402,3.03863,0.1986
560000,9,-1.05017,-154.337,6.10294,0.200133
565000,7,1.48384,-149.297,7.64196,0.1906
570000,13,0.0954156,-176.141,5.38552,0.2024
575000,12,5.01737,-161.514,5.7983,0.191429
580000,5,-3.40241,-160.852,2.54573,0.209467
585000,8,3.79383,-170.771,5.27719,0.208333
590000,4,0.980656,-163.524,3.92649,0.211217
595000,5,-0.0744094,-170.27,3.82295,0.2042
600000,4,-4.11782,-182.33,2.64458,0.19675
605000,11,2.96754,-132.746,7.61377,0.198933
610000,8,2.40376,-164.717,5.30423,0.2018
615000,11,-3.24782,-154.09,8.35302,0.1914
620000,9,-4.2881,-140.318,4.22231,0.1954
625000,7,-2.71661,-139.759,2.74704,0.193
630000,7,-8.69471,-159.436,6.40162,0.206467
635000,8,2.23014,-188.573,5.76246,0.21716
640000,4,4.86794,-193.101,1.76526,0.2098
645000,6,6.03623,-169.243,1.90668,0.2041
650000,10,-2.17647,-143.877,4.30642,0.19432
655000,11,4.36867,-152.728,3.53706,0.1874
660000,10,3.42184,-156.37,5.38871,0.2122
665000,4,4.32257,-179.713,2.11762,0.20468
670000,11,5.45385,-146.634,7.08378,0.20224
675000,6,3.15908,-168.542,2.99044,0.1952
680000,6,-0.655453,-149.811,1.99367,0.189
685000,9,-10.1984,-141.568,7.67318,0.206533
690000,7,0.974399,-155.057,4.30019,0.2008
695000,7,-1.18163,-158.879,4.85936,0.1982
700000,7,3.87153,-142.026,4.63351,0.1921
705000,7,1.87497,-159.429,3.90841,0.1926
710000,8,1.32651,-150.005,6.15007,0.1945
715000,7,2.82048,-152.923,3.07103,0.2091
720000,5,-0.578686,-187.249,2.68648,0.209467
725000,9,2.40934,-146.923,4.14354,0.202937
730000,10,2.0679,-143.225,2.44063,0.202067
735000,4,0.591805,-150.252,3.01298,0.19512
740000,8,2.13345,-155.745,3.03054,0.1972
745000,10,-9.79854,-148.877,7.95536,0.18645
750000,7,-3.91177,-162.942,3.29682,0.198067
755000,6,6.19237,-173.059,2.83922,0.2134
760000,5,-1.54525,-161.673,3.64478,0.2006
765000,8,1.98071,-161.764,4.25532,0.1992
770000,5,-0.478849,-158.592,3.06296,0.188
775000,10,-3.50591,-170.776,6.08679,0.2134
780000,13,1.26171,-135.036,7.26178,0.1988
785000,6,-0.338077,-135.679,3.27977,0.1942
790000,8,-0.290861,-144.016,3.17691,0.2068
795000,7,5.84353,-148.355,2.5252,0.20365
800000,8,1.36805,-143.316,2.29232,0.1864
805000,7,-2.32206,-166.895,2.35059,0.204217
810000,12,-5.44351,-151.024,6.09365,0.19104
815000,7,2.41563,-164.509,5.88862,0.20025
820000,9,3.17702,-166.613,2.62809,0.1942
825000,10,-0.617689,-174.175,5.05602,0.2232
830000,10,-2.56123,-168.592,7.51354,0.2178
835000,4,-7.92222,-168.823,6.09202,0.207
840000,8,-1.34501,-158.541,3.42493,0.208867
845000,8,-4.88108,-166.157,6.93771,0.2056
850000,8,-15.1496,-174.786,8.02924,0.2174
855000,3,-1.29521,-187.554,3.47325,0.22288
860000,14,-9.78177,-167.824,11.8402,0.2088
865000,11,0.542269,-141.286,2.88228,0.1994
870000,8,-0.28588,-166.467,5.45814,0.206729
875000,13,1.28747,-161.421,7.41712,0.200775
880000,6,-6.79427,-185.416,2.21275,0.20884
885000,6,-3.12311,-148.709,3.24239,0.2094
890000,9,-0.890819,-160.805,3.51798,0.202533
895000,5,-0.570545,-138.778,2.37395,0.2031
900000,8,-1.74225,-146.686,3.37384,0.1958
905000,9,2.57658,-137.188,5.12527,0.197325
910000,7,-9.15243,-140.748,5.91635,0.194
915000,6,-0.395068,-183.616,2.97964,0.21292
920000,5,-1.83053,-176.314,2.42766,0.2174
925000,9,-5.6405,-162.049,6.06798,0.2038
930000,5,-6.10311,-186.791,1.65319,0.2069
935000,13,-2.25045,-151.145,6.70852,0.19756
940000,1,-0.484358,-194.643,2.20418,0.205267
945000,7,1.02773,-192.73,1.75776,0.215667
950000,7,2.30297,-179.681,3.83602,0.210829
955000,9,0.927739,-159.594,3.57953,0.2054
960000,6,-2.4175,-164.154,4.93105,0.2102
965000,6,-3.16895,-146.484,4.01004,0.203
970000,5,-1.6029,-169.714,3.30588,0.22004
975000,7,-7.09664,-149.865,3.78636,0.2004
980000,8,-12.4978,-145.283,5.18888,0.19855
985000,4,-1.34616,-174.607,2.27243,0.207533
990000,8,1.5955,-166.085,3.70453,0.2042
